SWAN   1                                Swan standard spectral file, version
$   Data produced by SWAN version 41.51               
$   Project: Lecture         ;  run number: 01  
LOCATIONS                               locations in x-y-space
     1                                  number of locations
   762897.5000  4932077.5000
AFREQ                                   absolute frequencies in Hz
    51                                  number of frequencies
    0.0300
    0.0322
    0.0345
    0.0370
    0.0397
    0.0426
    0.0457
    0.0490
    0.0526
    0.0564
    0.0605
    0.0649
    0.0696
    0.0747
    0.0801
    0.0859
    0.0921
    0.0988
    0.1060
    0.1137
    0.1220
    0.1308
    0.1403
    0.1505
    0.1615
    0.1732
    0.1858
    0.1993
    0.2138
    0.2293
    0.2460
    0.2638
    0.2830
    0.3035
    0.3256
    0.3493
    0.3746
    0.4018
    0.4310
    0.4623
    0.4959
    0.5320
    0.5706
    0.6121
    0.6565
    0.7042
    0.7554
    0.8103
    0.8691
    0.9323
    1.0000
QUANT
     3                                  number of quantities in table
VaDens                                  variance densities in m2/Hz
m2/Hz                                   unit
   -0.9900E+02                          exception value
NDIR                                    average nautical direction in degr
degr                                    unit
   -0.9990E+03                          exception value
DSPRDEGR                                directional spreading                   
degr                                    unit
   -0.9000E+01                          exception value
LOCATION     1
  0.2983E-01   92.6   13.1
  0.3033E-01   92.7   13.1
  0.2899E-01   92.8   13.2
  0.2764E-01   93.0   13.3
  0.2767E-01   93.1   13.3
  0.2761E-01   93.2   13.3
  0.2614E-01   93.4   13.4
  0.2569E-01   93.5   13.5
  0.2601E-01   93.7   13.5
  0.2477E-01   93.9   13.9
  0.4813E-01   92.8   15.7
  0.1837E+00   91.8   16.6
  0.6580E+00   91.8   17.0
  0.1702E+01   92.1   17.3
  0.3104E+01   92.1   16.7
  0.4970E+01   92.3   16.3
  0.9583E+01   92.7   16.2
  0.1625E+02   93.1   16.2
  0.1224E+02   93.7   16.3
  0.6219E+01   94.5   16.6
  0.3869E+01   95.7   17.2
  0.2812E+01   97.4   18.2
  0.2174E+01   99.7   19.4
  0.1813E+01  102.5   20.6
  0.1543E+01  105.3   21.6
  0.1276E+01  107.1   22.2
  0.1076E+01  107.7   22.6
  0.9496E+00  108.4   23.7
  0.7367E+00  111.5   25.4
  0.5347E+00  113.7   26.2
  0.4043E+00  114.6   27.4
  0.3097E+00  115.9   29.4
  0.2380E+00  117.6   30.7
  0.1885E+00  119.2   32.3
  0.1498E+00  119.2   34.0
  0.1173E+00  119.8   35.2
  0.9220E-01  121.3   36.5
  0.7286E-01  122.1   38.2
  0.5691E-01  122.2   39.5
  0.4442E-01  123.0   40.4
  0.3487E-01  124.0   41.6
  0.2705E-01  124.4   42.9
  0.2067E-01  125.0   44.1
  0.1590E-01  125.7   45.1
  0.1222E-01  126.6   45.7
  0.9511E-02  127.4   46.2
  0.7318E-02  127.6   47.6
  0.5618E-02  127.4   48.4
  0.4167E-02  127.7   49.5
  0.3112E-02  128.1   50.0
  0.2381E-02  128.4   49.9
